Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
URGN,UroGen Pharma Ltd.,34.55,$718.34M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/urgn
UROV,Urovant Sciences Ltd.,8.24,$249.92M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/urov
ECOL,"US Ecology, Inc.",62.74,$1.38B,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/ecol
USAT,"USA Technologies, Inc.",7.45,$447.01M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usat
USATP,"USA Technologies, Inc.",26.15,$11.64M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usatp
USAK,"USA Truck, Inc.",9.89,$84.45M,1992,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/usak
UTMD,"Utah Medical Products, Inc.",81.22,$302.36M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/utmd
UTSI,UTStarcom Holdings Corp,3.09,$110.05M,2000,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/utsi
UXIN,Uxin Limited,2.08,$636.47M,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/uxin
VCNX,"Vaccinex, Inc.",5.3155,$61.02M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vcnx
VLRX,"Valeritas Holdings, Inc.",2.9,$15.4M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/vlrx
VALX,Validea Market Legends ETF,25.8799,$22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/valx
VLY,Valley National Bancorp,10.33,$3.43B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/vly
VLYPO,Valley National Bancorp,25.69,$102.76M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/vlypo
VLYPP,Valley National Bancorp,27.61,$127.01M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/vlypp
VALU,"Value Line, Inc.",26.9,$260.15M,1983,Finance,Investment Managers,https://www.nasdaq.com/symbol/valu
VNDA,Vanda Pharmaceuticals Inc.,14.06,$744.67M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vnda
BBH,VanEck Vectors Biotech ETF,128.05,$377.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbh
PPH,VanEck Vectors Pharmaceutical ETF,58.72,$175.46M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pph
VWOB,Vanguard Emerging Markets Government Bond ETF,80.13,$1.34B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vwob
VNQI,Vanguard Global ex-U.S. Real Estate ETF,59.19,$5.98B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vnqi
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,89.49,$25.13B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vcit
VGIT,Vanguard Intermediate-Term Treasury ETF,65.77,$3.97B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vgit
VIGI,Vanguard International Dividend Appreciation ETF,67.6,$1.15B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vigi
VYMI,Vanguard International High Dividend Yield ETF,61.1,$1.13B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vymi
VCLT,Vanguard Long-Term Corporate Bond ETF,95.99,$3.95B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vclt
VGLT,Vanguard Long-Treasury ETF,80.8,$1.18B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vglt
VMBS,Vanguard Mortgage-Backed Securities ETF,52.71,$8.96B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vmbs
VONE,Vanguard Russell 1000 ETF,135.02,$1.16B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vone
VONG,Vanguard Russell 1000 Growth ETF,163.37,$2.76B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vong
VONV,Vanguard Russell 1000 Value ETF,111.32,$1.9B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vonv
VTWO,Vanguard Russell 2000 ETF,123.75,$1.52B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwo
VTWG,Vanguard Russell 2000 Growth ETF,145.37,$301.64M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwg
VTWV,Vanguard Russell 2000 Value ETF,103.71,$248.9M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwv
VTHR,Vanguard Russell 3000 ETF,134.27,$456.52M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vthr
VCSH,Vanguard Short-Term Corporate Bond ETF,80.58,$24.15B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vcsh
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,49.29,$6.19B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtip
VGSH,Vanguard Short-Term Treasury ETF,60.9,$5.38B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vgsh
BND,Vanguard Total Bond Market ETF,82.77,$41.1B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bnd
VTC,Vanguard Total Corporate Bond ETF,86.2773,$148.83M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtc
BNDX,Vanguard Total International Bond ETF,57.18,$17.98B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,52.54,$12.85B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vxus
BNDW,Vanguard Total World Bond ETF,78.515,$135.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bndw
VREX,Varex Imaging Corporation,29.21,$1.12B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/vrex
VRNS,"Varonis Systems, Inc.",61.23,$1.85B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns
VBLT,Vascular Biogenics Ltd.,1.16,$41.62M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vblt
VXRT,"Vaxart, Inc.",0.7322,$11.56M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vxrt
VBIV,"VBI Vaccines, Inc.",1.01,$98.64M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vbiv
VTIQ,VectoIQ Acquisition Corp.,10.15,$300.85M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/vtiq
VTIQU,VectoIQ Acquisition Corp.,10.63,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/vtiqu
VTIQW,VectoIQ Acquisition Corp.,0.5,$14.82M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/vtiqw
VECO,Veeco Instruments Inc.,11.24,$547.11M,1994,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/veco
VEON,VEON Ltd.,2.85,$4.99B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/veon
VRA,"Vera Bradley, Inc.",11.78,$403.04M,2010,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/vra
VCYT,"Veracyte, Inc.",27.82,$1.16B,2013,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/vcyt
VSTM,"Verastem, Inc.",1.81,$133.72M,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vstm
VERB,"Verb Technology Company, Inc.",1.96,$43.73M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/verb
